valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Popularidad,artistslist,numero_de_artistas,mainartist,duration_s,feat
0.298,1981,0.551,['Phil Collins'],0.446,336453,0.239,0,18AXbzPzBS8Y3AkgSxzJPb,4.1e-6,0,0.0697,-13.945,1,In The Air Tonight - 2015 Remastered,77,1981-01-01,0.0316,189.507,Popular,,1,Phil Collins,336.453,0
0.962,1981,0.22,['Rick James'],0.838,205467,0.794,0,2dCmGcEOQrMQhMMS8Vj7Ca,0,9,0.0575,-8.245,0,Super Freak,76,1981-04-07,0.0531,132.446,Popular,,1,Rick James,205.467,0
0.971,1981,0.0436,['The Rolling Stones'],0.631,213067,0.932,0,7HKez549fwJQDzx3zLjHKC,0.13699999999999998,5,0.0918,-4.142,1,Start Me Up - Remastered,76,1981-08-24,0.0354,122.429,Popular,,1,The Rolling Stones,213.067,0
0.732,1982,0.257,['TOTO'],0.6709999999999999,295893,0.373,0,2374M0fQpWi3dLnB54qaLX,8.01e-5,9,0.0481,-18.064,1,Africa,83,1982-04-08,0.0323,92.718,Popular,,1,TOTO,295.893,0
0.847,1982,0.0236,['Michael Jackson'],0.92,293827,0.654,0,5ChkMS8OtdzJeqyybCc9R5,0.0158,11,0.0359,-3.051,0,Billie Jean,83,1982-11-30,0.0401,117.046,Popular,,1,Michael Jackson,293.827,0
0.816,1982,0.079,['The Clash'],0.742,188987,0.833,0,39shmbIHICJ2Wxnk1fPSdz,0,2,0.384,-6.462999999999999,1,Should I Stay or Should I Go - Remastered,79,1982,0.115,113.375,Popular,,1,The Clash,188.987,0
0.782,1982,0.664,['Dexys Midnight Runners'],0.45,287307,0.6559999999999999,0,3MrWxJaD2AT0W9DjWF64Vm,3.02e-6,2,0.259,-7.049,1,Come On Eileen,76,1982-07-22,0.0472,106.61,Popular,,1,Dexys Midnight Runners,287.307,0
0.915,1982,0.0491,['Michael Jackson'],0.779,258040,0.867,0,1OOtq8tRnDM8kG2gqUPjAj,7.98e-6,3,0.197,-3.704,0,Beat It,79,1982-11-30,0.0457,138.858,Popular,,1,Michael Jackson,258.04,0
0.763,1982,0.0261,['Phil Collins'],0.62,175747,0.936,0,4YwbSZaYeYja8Umyt222Qf,0,7,0.0679,-4.593,1,You Can't Hurry Love - 2016 Remaster,77,1982-11-05,0.0308,97.527,Popular,,1,Phil Collins,175.747,0
0.875,1983,0.225,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",0.6920000000000001,216933,0.711,0,1TfqLAPs4K3s2rJMoCokcS,0,0,0.12,-7.497999999999997,0,Sweet Dreams (Are Made of This) - Remastered,81,1983-01-04,0.0317,125.135,Popular,,3,Eurythmics,216.933,1
0.7909999999999999,1983,0.0747,['Billy Joel'],0.701,197707,0.943,0,5zA8vzDGqPl2AzZkEYQGKh,0,4,0.601,-2.986,1,Uptown Girl,77,1983-08-08,0.0456,128.99200000000002,Popular,,1,Billy Joel,197.707,0
0.74,1983,0.5429999999999999,['The Police'],0.82,253920,0.452,0,1JSTJqkT5qHq8MDJnJbRE1,0.00294,1,0.0714,-9.796,1,Every Breath You Take,84,1983-06-17,0.0348,117.401,Popular,,1,The Police,253.92,0
0.772,1983,0.35600000000000004,['Elton John'],0.504,183440,0.904,0,1jDJFeK9x3OZboIAHsY9k2,0.121,6,0.14,-6.863,1,I'm Still Standing,79,1983-05-30,0.179,176.808,Popular,,1,Elton John,183.44,0
0.725,1983,0.22,['Cyndi Lauper'],0.71,238267,0.799,0,4y1LsJpmMti1PfRQV9AWWe,6.02e-4,6,0.349,-4.897,1,Girls Just Want to Have Fun,77,1983-10-14,0.0328,120.372,Popular,,1,Cyndi Lauper,238.267,0
0.828,1983,0.195,['Matthew Wilder'],0.917,184480,0.588,0,1mCsF9Tw4AkIZOjvZbZZdT,0,10,0.0914,-11.047,1,Break My Stride,76,1983-03-19,0.0607,110.077,Popular,,1,Matthew Wilder,184.48,0
0.774,1984,0.0183,['Bryan Adams'],0.508,216053,0.8340000000000001,0,0GONea6G2XdnHWjNZd6zt3,0,2,0.0732,-6.205,1,Summer Of '69,82,1984-11-05,0.0386,139.131,Popular,,1,Bryan Adams,216.053,0
0.7959999999999999,1984,0.171,['Van Halen'],0.5720000000000001,241600,0.835,0,7N3PAbqfTjSEU1edb2tY8j,3.76e-4,0,0.0702,-6.2189999999999985,1,Jump - 2015 Remaster,79,1984-01-04,0.0317,129.994,Popular,,1,Van Halen,241.6,0
0.907,1984,0.501,['Don Henley'],0.516,288733,0.5489999999999999,0,4gvea7UlDkAvsJBPZAd4oB,0.00572,6,0.184,-13.741,1,The Boys Of Summer,76,1984-01-01,0.0373,176.94099999999997,Popular,,1,Don Henley,288.733,0
0.897,1984,0.271,['Wham!'],0.62,231333,0.573,0,0ikz6tENMONtK6qGkOrU3c,0,0,0.0607,-11.893,1,Wake Me Up Before You Go-Go,79,1984-10-23,0.0423,81.548,Popular,,1,Wham!,231.333,0
0.495,1984,0.0115,['Bruce Springsteen'],0.527,241307,0.942,0,7FwBtcecmlpc1sLySPXeGE,0,1,0.188,-5.64,0,Dancing In the Dark,77,1984-06-04,0.0366,148.72299999999996,Popular,,1,Bruce Springsteen,241.307,0
0.423,1984,0.193,['Foreigner'],0.477,304787,0.471,0,1JLn8RhQzHz3qDqsChcmBl,1.76e-6,6,0.131,-10.036,1,I Want to Know What Love Is - 1999 Remaster,78,1984-12-12,0.0277,81.204,Popular,,1,Foreigner,304.787,0
0.335,1984,0.0465,['Bryan Adams'],0.382,243360,0.589,0,7Ewz6bJ97vUqk5HdkvguFQ,0,9,0.122,-7.315,0,Heaven,77,1984-11-05,0.0267,140.059,Popular,,1,Bryan Adams,243.36,0
0.535,1985,0.34700000000000003,['Tears For Fears'],0.645,251489,0.795,0,4RvWPyQ5RL0ao9LPZeSouE,0.00389,7,0.104,-12.095,1,Everybody Wants To Rule The World,82,1985-02-25,0.0527,112.067,Popular,,1,Tears For Fears,251.489,0
0.8759999999999999,1985,0.018,['a-ha'],0.573,225280,0.902,0,2WfaOiMkCvy7F5fcp2zZ8L,0.00125,6,0.0928,-7.638,0,Take on Me,84,1985-06-01,0.054,84.412,Popular,,1,a-ha,225.28,0
0.624,1985,0.5760000000000001,"['Grover Washington, Jr.', 'Bill Withers']",0.8029999999999999,237106,0.488,0,1ko2lVN0vKGUl9zrU0qSlT,0.0609,1,0.0763,-9.303,1,Just the Two of Us (feat. Bill Withers),79,1985,0.0803,95.771,Popular,,3,Grover Washington,237.106,1
0.6559999999999999,1985,0.052,['Starship'],0.6609999999999999,296080,0.908,0,6OnfBiiSc9RGKiBKKtZXgQ,0,5,0.0708,-4.897,1,We Built This City,76,1985-09-10,0.039,144.091,Popular,,1,Starship,296.08,0
0.944,1985,0.0116,['Katrina & The Waves'],0.596,238733,0.8690000000000001,0,05wIrZSwuaVWhcv5FfqeH0,0.173,10,0.0678,-11.97,1,Walking On Sunshine,78,1985,0.037,109.902,Popular,,1,Katrina & The Waves,238.733,0
